Predicate,Number
isAlmostTheSameAs,9
hasObjectType,18
hasComponentElement,73
isaCapabilityOf,5
hasStartingTimePoint,14
died,5
isaPhysicalRepresentationOf,8
hasMonomerUnit,2
isaTendencyToPerformAction,1
isTheAttributeOfSomethingDoing,47
reversesTheEffectOf,43
representsType,8
hasProtonCount,23
isAbilityToPerformActionType,8
isDerivedFrom,21
hasTopic,52
produced,4
typicallyHasPhysicalPart,3
speaksLanguage,4
isTheAttributeOfSomethingLacking,3
wasPerformedByAgent,40
isTheAttributeOfSomethingThatDidNotExperience,3
isNormallyLocatedAt,4
hasDenominator,15
hasContrastingFeeling,5
isTheAttributeOfSomethingCausing,18
impliesPriorEventType,4
isSpatiallyDisjointWith,7
hasEndingTimePoint,14
isProducedByEventType,5
isaComponentElementOf,7
isUsedToMeasure,10
hasMainTopic,5
hasPhysicalPart,8
isSlowerThan,2
wasExperiencedBy,4
hasConstituentSubstance,1
hasBeliever,20
wnel,3
hasAtomicNumber,2
hasTemporalLocation,7
hasSpatialPart,8
functionsTogetherWith,2
doesNotHavePart,4
hasNumericalAbbreviation,26
isSecretedBy,2
isLessIntenseThan,16
isInList,4
hasStartingPlace,4
hadObjectTransferred,4
hasDensityInGramsPerCC,1
causes,23
hasSubject,2
appearsInAxioms,8
isUndesirableTo,5
typicallyFinishes,1
hasStringDatatype,2
hasAbbreviation,3
isTheComparativeOfAttribute,8
hasPurpose,1
causesMentalEventType,6
containsCode,4
typicallyStarts,2
isaRequiredResourceFor,1
isTheAuthorOf,10
isTheColorOf,1
occurredInTimeInterval,4
isaLabelFor,5
isFasterThan,4
assertsAttributeOrType,2
hadRecipient,1
refersToFutureSituation,3
isTypicallyaPhysicalPartOf,12
isInTheMindOf,4
alwaysCauses,6
hasPhysicalRepresentation,4
disposesToFeeling,1
practicesOccupation,7
propels,1
isGreaterThan,19
wasTheAgentInAction,7
hasDesiredSituation,6
isTheAttributeOfSomethingProducedBy,4
hasPositiveForm,3
hasMaximumValue,1
wasFoundInAction,1
hasConverseCorrelatedEvent,8
kids,16
hasSubEvent,8
isTheSuperlativeOfAttribute,3
isProducedNaturallyBy,17
hasCorrespondingEvent,6
pastPartOf,5
hasLowerLimit,8
hadObjectModified,4
hasReturnValue,2
isaFeelingOfSomeoneWithAttribute,6
hadObjectPerceived,6
hasMainComponentSubstance,14
isCreatedByAgentType,1
identifies,4
hasFirstElement,11
isaComponentSubstanceOf,6
modifies,3
isaSpatialPartOf,11
hadInformationTransferred,1
isaFractionalComponentOf,5
isCelebratedOn,2
isaPhysicalPartOf,10
isaProperPartOf,3
inContext,5
isTheAttributeOfSomeoneEngagedIn,2
isLargerBy453.6than,1
isaDesignFunctionOf,2
servesAsaPathFor,4
hasSpatialRegion,6
usesSubstance,1
isTheCapitalCityOf,1
isBiologicallyDerivedFrom,2
hadSubjectOfStudy,22
of,1
contains,3
isaSourceOf,5
causedChange,1
consistsOfManyOf,19
isMoreIntensiveThan,2
SUMO,1
isTheCreatorOf,3
wasMotivatedByEvent,1
isAnActionDisposedByTendency,1
hasAttributeType,6
improves,1
isLargerBy1000than,4
isEmployedBy,1
hadAffectedPerson,1
hasFourthElement,1
hasUpperLimit,8
query,7
hasGender,3
informalTerm,4
wasAssignedByAuthority,2
partsHaveTypeInCommon,3
wasSelectedInEvent,1
hasAuthorityOver,3
hasNominalForm,2
isTheOccupationOfA,5
disposesToAction,12
framenet,1
wasCreatedDuring,1
violatesRule,2
hadAgentHelped,1
usesSenseOrOrgan,3
wasaCustomerOf,1
isDirectedToward,4
hasNamespacePrefix,2
isTheAttributeOfSomethingUnlikelyToUndergo,4
isDesiredIn,3
isWeightFraction,3
hasRepeatedEntity,5
isAdjacentTo,8
hadMainParticipant,2
canEmit,1
isUsedAsInstrumentInAction,2
isTheNominalFormOf,3
isInsideOf,2
isanAbstractRepresentationOf,4
hasProbability,2
isTheMainTopicOf,3
wasaResponseToEvent,1
hasMinimumValue,1
isaShapedFormOfSubstance,5
isaDriedFormOfSubstance,2
isSmallerThan,14
sells,8
isWithinaFactorOfTwoOf,1
isaParticipantIn,1
enablesOrAssists,4
has,4
hasInfinitiveForm,4
occurredAt,7
hasMonetaryValue,1
hasPopulationAtTime,1
hasRelation,2
isOfferedByVendor,1
containsSubstance,1
controls,2
hasApproximateValue,4
hasThirdElement,1
hasAlias,3
hasUniquePrefix,3
wasCausedBy,2
existsInContext,9
isaLocationForCharacteristicActivity,3
hasMultipleValue,3
isaCitizenOf,4
naturallyProduces,1
wasAssistedBy,1
appliesInJurisdiction,4
isaRitualOfGroup,2
isaDramaticRoleOf,1
isTheGovernmentOf,2
occupiesTheRegion,3
eventWithCauses,1
hasQuantitativeMeasure,1
worsens,1
hasQuantifierMaximum,1
hadTransferredItem,1
canBeConvertedInto,1
wasaVendorTo,1
occurredLaterThan,7
hasURL,3
isTheQuantityThatWillFillA,6
hasTheAttributeNominalForm,3
hasFrequencyOfUse,2
hasContrastingTrait,2
hasComponentObjectType,2
fillsTheRoleOf,1
consistsOfSubstance,2
wasRealizedByAction,2
hadActionPerformed,2
hasSolute,1
hasSpatialPartType,1
hasPrice,1
refersToExternalEntity,3
isaConstituentSubstanceOf,3
isTheCauseOfMentalSituation,3
isaHigherLevelOf,3
hasDensityMeasure,1
chinp,1
owns,2
mayFillTheRoleOf,2
hasTimeInterval,1
